ID,Legacy ID,First Name,Last Name,Department,Average Rating,Number of Ratings,Average Difficulty,Would Take Again %,School Name,School ID,RMP URL
VGVhY2hlci0yMTk5MDk0,2199094,Oral,Robinson,Sociology,3.9,65,3.1,67.7,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2199094
VGVhY2hlci0xNzY1NTE2,1765516,Tara,Mayer,History,4.5,57,3.1,94.4,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/1765516
VGVhY2hlci0yMDM3NDY4,2037468,Rui Jorge,Basto da Silva,Business,4.2,33,2.7,75.8,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2037468
VGVhY2hlci0yMjY5NTE4,2269518,Zul,Kanji,Dentistry,4.9,7,3.0,85.7,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2269518
VGVhY2hlci00MzI2MA==,43260,Mary,Chapman,English,3.2,50,3.2,27.3,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/43260
VGVhY2hlci0yOTgzMzcz,2983373,Teri,Charrois,Pharmacy,1.0,14,5.0,0.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2983373
VGVhY2hlci0yODExNjQw,2811640,Gittu,George,Computer Science,4.8,6,2.5,100.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2811640
VGVhY2hlci0zMDIxMjUy,3021252,Desiree ,Valadares,Geography,2.8,4,3.8,0.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/3021252
VGVhY2hlci0yNzQ5MDM0,2749034,Zheng,Cai,Asian Studies,3.8,16,2.9,68.8,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2749034
VGVhY2hlci0yOTk2MTE0,2996114,Ji-yoon,An,Asian Studies,3.4,11,3.4,63.6,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2996114
VGVhY2hlci0xMTI4OTMw,1128930,Michael,Tenzer,Music,3.6,9,3.3,71.4,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/1128930
VGVhY2hlci0yNDY5MjYy,2469262,Haris,Gilani,Forestry,4.5,2,3.0,100.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2469262
VGVhY2hlci00MTczMg==,41732,Craig,Berezowsky,Zoology,2.8,199,3.5,45.3,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/41732
VGVhY2hlci05MDc4MA==,90780,Darren,Warburton,Physical Ed,2.7,58,3.8,60.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/90780
VGVhY2hlci0yMTgwNDAx,2180401,Mehrdad,Oveisi,Computer Science,4.3,54,2.6,77.8,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2180401
VGVhY2hlci0zMDk0ODk4,3094898,Masoud,Zamani,Political Science,5.0,7,3.0,100.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/3094898
VGVhY2hlci0yNDQ3MTIw,2447120,Craig,Meadows,Sociology,3.3,95,3.7,50.5,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2447120
VGVhY2hlci0yNzA4NDYx,2708461,Nigare,Raheem,Chemistry,2.7,55,3.7,38.2,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2708461
VGVhY2hlci0yNjgyNDI5,2682429,Elizabeth,Nijdam,German,4.5,47,2.1,87.2,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2682429
VGVhY2hlci0xNzQyNDI=,174242,Alice,Mui,Medicine,2.8,24,3.0,0.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/174242
VGVhY2hlci0yNzc1OTE0,2775914,Yasuko,Matsumoto,Japanese,4.0,11,4.2,63.6,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2775914
VGVhY2hlci0yODU1NjE1,2855615,Petti,Fong,Communication,3.7,11,2.7,72.7,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2855615
VGVhY2hlci0yODYzNTQ2,2863546,Cécile,Ollivier-Budisa,French,4.1,8,3.1,87.5,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2863546
VGVhY2hlci0zMDkxMDM4,3091038,Simin,Najmi,Physics & Astronomy,4.2,5,2.0,60.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/3091038
VGVhY2hlci0yNzczNzcx,2773771,Ann-Kathrine,Havemose,Literature,3.7,3,1.7,66.7,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2773771
